projectName,address,zipCode,safetyIndex,management,contactPhone,totalUnits,singleRoomOccupancy,studio,1_bedroom,2_bedroom,3_bedroom,4_bedroom
Grace Peck Terrace,1839 NE 14th Ave,97212,,Quantum Residential,503-281-7094,95,,,95,,,
Silvercrest Residence,1865 NE Davis St,97232,,Quantum Residential,503-236-2320,76,,,75,1,,
Halsey Street Project,18940 NE Halsey St,97230,,Eastco Diversified Services Inc.,503-666-1016,6,,5,1,,,
Rockwood Landing,19045 SE Yamhill,97233,,Home Forward,503-661-3327,37,,,,12,17,8
Chateau Apts,1910 SE Stark St,97214,,Home Forward,503-280-3750,10,,,,10,,
Fir Acres,19401 SE Yamhill St,97233,,Home Forward,503-280-3750,31,,,,18,13,
The Morrison,1959 SW Morrison St,97205,,Income Property Management,503-241-6489,140,,45,74,21,,
Medallion Apts,1969 NW Johnson St,97209,,Home Forward,503-280-3750,90,,,88,2,,
El Moro Apts,2016 SE 122nd Ave,97233,,Kathy McIrvin,503-252-3095,17,,,16,1,,
Marshall Union Manor,2020 NW Northrup St,97209,,Manor Management,503-225-0677,243,,154,88,1,,
Marion Street Apts,2020 SE Marion St,97202,,REACH Community Development Inc.,971-277-1296,24,,,16,8,,
The Bookmark,2034 NE 40th Ave,97212,,Guardian Real Estate Services,503-335-8400,48,,1,36,11,,
Ankeny Square,204 SW 8th Ave,97205,,Central City Concern,503-525-8483,106,106,,,,,
Williams Plaza,2041 NW Everett St,97209,,Home Forward,503-280-3750,101,,67,34,,,
Modern Rich Apts,205 NW Couch St,97209,,Income Property Management,503-705-2682,34,,33,1,,,
Powell Blvd. Apts,2105 SE Powell Blvd,97202,,REACH Community Development Inc.,503-231-3055,19,,3,14,2,,
Gallagher Plaza,2140 NW Kearney St,97210,,Home Forward,503-280-3820,85,,,85,,,
Musolf Manor,216 NW 3rd Ave,97209,,Income Property Management,503-223-1547,95,,95,,,,
Camar Apts,2164 NW Lovejoy St,97210,,Northwest Housing Alternatives,503-654-1007,12,,,12,,,
Mi Casa,217 NE 192nd Ave,97230,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,
Pioneer Abodes,220 SE 106th Ave,97216,,PHC Northwest,503-261-1266,10,,,6,4,,
Allen Fremont Plaza,221 NE Fremont St,97212,,REACH Community Development Inc.,503-282-8668,64,,,64,,,
Fremont Manor,221 NE Fremont St,97212,,Norris & Stevens Inc.,503-287-3704,28,,,18,9,1,
WestShore Apts,222 SW Pine St,97204,,REACH Community Development Inc.,503-827-7918,113,,105,8,,,
Estate Building,225 NW Couch St,97209,,Central City Concern,503-525-8483,191,,191,,,,
Victorian Apts,2255 W Burnside St,97210,,Guardian Real Estate Services,503-294-0960,62,,40,22,,,
Harmony House,2270 SE 39th Ave,97214,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,
Cherry Ridge Apts,2295 SW Sturges Ln,97060,,GSL Properties,503-618-0186,160,,,80,80,,
Holladay Court,2310 NE Weidler St,97232,,KBC Management,503-810-9473,28,,12,16,,,
Barbara Maher,2322 N Williams Ave,97227,,Guardian Real Estate Services,503-823-4935,33,,33,,,,
Lincoln Woods,2333 SE 130th Ave,97233,,Human Solutions,844-218-8956,70,,,18,8,29,15
McCuller Crossing,236 N Killingsworth St,97217,,REACH Community Development Inc.,503-286-0265,36,,,6,26,4,
Glisan Street Project,2375 NW Glisan,97210,,Cascadia Behavioral Healthcare,503-963-7797,5,5,,,,,
Burnside Station Apts,240 SE 160th Ave,97233,,Quad Inc.,503-287-4260,21,,,15,5,1,
Green Tree Court,2405 SE 142nd Ave,97233,,Human Solutions,844-218-8956,11,,,,11,,
Tenino Terrace,2405 SE Umatilla St,97202,,Heartland Realty,503-234-6785,94,,,23,71,,
Lincoln Park,2409 SE 139th Ave,97233,,ColumbiaCare Services Inc.,541-858-8170,4,,,,,,
Eliot Square,2417 NE Rodney Ave,97212,,Home Forward,503-280-3750,30,,,,11,15,4
Village at Lovejoy Fountain,245 SW Lincoln St,97201,,VLF Properties,503-223-5314,198,,45,109,44,,
Sequoia Square Apts,247 SE 160th Ave,97233,,Cascade Management Inc.,503-408-8886,62,,10,,38,10,4
Blackburn Center,25 NE 122nd Ave,97230,,Central City Concern,503-525-8483,124,,,,,,
Unthank Plaza Apts,2500 N Williams Ave,97227,,Quantum Residential,503-287-1258,80,,,80,,,
Dresden Apts,2545 E Burnside,97214,,REACH Community Development Inc.,503-235-3778,30,,11,16,3,,
Myers Court,2600 N Williams Ave,97227,,Quad Inc.,503-287-4260,19,,19,,,,
Camelia Court,2601 N Lombard St,97217,,Home Forward,503-280-3750,14,,,14,,,
Arbor Glen Apts,2609 SE 145th Ave,97236,,Human Solutions,503-298-6025,96,,,4,52,40,
Ivon Court,2629 SE 125th Ave,97236,,Human Solutions,844-277-5320,8,,,,,,
Howard House,2644 SE Powell Blvd,97202,,Cascade Management Inc.,503-236-6468,12,,,12,,,
Douglas Meadows,2645 SE 127th Ave,97236,,Human Solutions,844-277-5320,8,,,,,6,2
Upshur House,2650 NW Upshur St,97210,,Cascade Management Inc.,503-226-3485,30,,,8,12,10,
Demar Downs,2700 SE 148th Ave,97236,,Home Forward,503-280-3810,18,,,,18,,
Bukas Place,2705 N Killingsworth St,97217,,UBA Building Services,503-289-6072,7,,,,6,1,
Clinton Ridge Apts,2730 SE 92nd Ave,97266,,Cascadia Behavioral Healthcare,503-963-7767,29,,,29,,,
Caritas Plaza,2830 N Williams Ave,97227,,Cascade Management Inc.,503-288-3186,30,,9,18,3,,
Midland Commons,2830 SE 127th Ave,97236,,Cascadia Behavioral Healthcare,503-963-7767,46,,9,32,5,,
Peaceful Villa,2835 SE 47th Ave,97206,,Home Forward,503-280-3750,69,,8,53,8,,
Killingsworth Home,29th & Killingsworth,97217,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,
Townhouse Terrace,3001 SE 136th Ave,97236,,Home Forward,503-280-3750,32,,,,20,12,
Garlington Center,3024 NE Martin Luther King Jr Blvd,97212,,Cascadia Behavioral Healthcare,,51,,6,40,5,,
Kramer Apts,303 N Beach St,97227,,Cascadia Behavioral Healthcare,503-232-6971,4,,,4,,,
3033 NE Rodney,3033 NE Rodney Ave,97212,,Mentor Oregon,503-258-2440,5,,,,5,,
Station 162,304 SE 162nd Ave,97233,,Quad Inc.,503-287-4260,43,,,41,2,,
The Henry,309 SW Fourth Ave,97204,,Central City Concern,503-525-8483,153,,,,,,
Biltmore Hotel,310 NW 6th Ave,97209,,Central City Concern,503-525-8483,75,75,,,,,
Royal Palm,310 NW Flanders St,97209,,Cascadia Behavioral Healthcare,503-827-3949,30,30,,,,,
Beacon Manor,3123 SE 8th Ave,97202,,REACH Community Development Inc.,503-235-9029,19,,11,8,,,
Village at the Headwaters,3131 SW Marigold St,97219,,Cascade Management Inc.,503-244-1544,56,,,35,21,,
Fifth Avenue Place Apts,314 NW 5th Ave,97209,,Pinnacle Realty Management,503-243-3311,70,,50,15,5,,
Garden Park Estates,3140 SE 136th Ave,97236,,Pacificap Management,503-762-2151,63,,,,62,1,
Park Terrace,315 N Alberta St,97217,,Cascade Management Inc.,503-282-6111,88,,,88,,,
Kenilworth Park Plaza,3214 SE Holgate Blvd,97202,,Oddfellows Holgate Center,503-872-1110,77,,20,57,,,
Converse Court Apts,325 NW 18th Ave,97209,,Circum Pacific Properties,503-241-2748,18,,,18,,,
The Magnolia,3250 NE Martin Luther King Jr Blvd,97212,,Income Property Management,503-282-1005,50,,,41,9,,
Briarwood East,3302 SE 122nd Ave,97236,,Human Solutions,503-298-6025,22,,,,7,15,
Pacific Tower Apts,333 NW 4th Ave,97209,,Pinnacle Realty Management,503-224-9393,156,,34,111,11,,
333 Oak Apts,333 SW Oak St,97204,,Cascade Management Inc.,503-227-2358,90,,72,18,,,
The Belmont Dairy,3340 SE Morrison St,97214,,Guardian Real Estate Services,503-235-4312,81,,,,,,
Northwest Tower,335 NW 19th Ave,97209,,Home Forward,503-280-3880,174,,63,81,27,3,
Beatrice Morrow,3368 NE MLK Blvd,97212,,PCRI,503-288-2923,80,,,,,,
Haven House,3423 SE 69th Ave,97206,,Cascade Management Inc.,503-236-6468,3,,,,,3,
Kirkland Union Manor I,3530 SE 84th Ave,97266,,Manor Management,503-777-8101,282,,99,182,1,,
St Anthony's Village,3560 SE 79th Ave,97266,,St Anthony Management,503-775-4414,126,,96,23,7,,
Hazelwood Station,36 NE 147th Ave,97230,,Affinity Property Management,503-257-8400,60,,,18,16,19,7
Esperanza Court,3611 SE 28th Ave,97202,,Cascade Management Inc.,503-236-6468,70,,,28,42,,
Kateri Park,3640 SE 28th Ave,97202,,Cascade Management Inc.,503-233-4701,50,,,8,8,24,10
Beech Street,3650 NE Malloy St,97212,,Income Property Management,503-223-6327,32,,,,,,
PCRI Scattered Site Project,37 NE 127th Ave,97230,,PCRI,503-288-2923,11,,,,,11,
Eastport Apts,3709 SE 91st Ave,97266,,ColumbiaCare Services Inc.,541-858-8170,7,,,,7,,
Shaver Green,375 NE Shaver St,97212,,Pinnacle Realty Management,503-282-2769,85,,,59,25,1,
Maple Mallory,3800 NE Mallory Ave,97212,,Home Forward,503.280.3750,48,,,24,24,,
Caritas Sacred Heart Villa,3911 SE Milwaukie Ave,97202,,Cascade Management Inc.,503-232-1466,68,,6,45,17,,
Sacred Heart Villa,3911 SE Milwaukie Ave,97202,,Cascade Management Inc.,503-232-1466,68,,6,45,17,,
Betty Campbell Building,3917 N Mississippi Ave,97227,,PCRI,503-288-2923,9,,9,,,,
Kernlodge,3921 SE 69th Ave,97206,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,
L. Roy Gardens,3940 N Haight Ave,97227,,Cascade Management Inc.,503-287-2162,18,,,7,7,4,
Maya Angelou,4012 N Borthwick,97227,,Cascade Management Inc.,503-493-1140,42,,,25,13,,4
Albina Plaza,4012 N Borthwick Ave,97227,,Cascade Management Inc.,503-493-1140,8,,,4,4,,
Harold Lee Village,4023 SE 112th Ave,97266,,Home Forward,503-280-3750,10,,,,,10,
Albina Corner,409 NE San Rafael St,97212,,REACH Community Development Inc.,503-281-7227,48,,,29,16,3,
Fanno Creek,4105 SW Beaverton-Hillsdale Hwy,97221,,Cascadia Behavioral Healthcare,503-228-0373,24,,,24,,,
Tamarack Apts,4111 N Alaska St,97203,,Home Forward,503-280-3750,118,,,48,60,10,
Richmond Place,4147 SE Division St,97202,,Impact Northwest,503-988-6000,20,20,,,,,
Hotel Alder,415 SW Alder St,97204,,Central City Concern,503-525-8483,99,99,,,,,
Grand Oak,418 SE Grand Ave,97214,,REACH Community Development Inc.,503-235-2941,42,,3,39,,,
The Wilshire,420 SE Grand Ave,97214,,REACH Community Development Inc.,503-235-2941,42,,,42,,,
Cora Park Apts,4207 SE 37th Ave,97202,,Home Forward,503-280-3750,10,,,,6,4,
Roselyn Apts,424 NW 21st Ave,97209,,Cascade Management Inc.,503-288-4220,31,,30,1,,,
Buckman Heights,430 NE 16th Ave,97232,,Summit Real Estate,503-232-4040,144,,60,64,20,,
McCoy Village,4310 NE Martin Luther King Jr Blvd,97211,,Cascade Management Inc.,503-280-1381,55,,,10,20,15,10
Holgate Plaza,4333 SE 104th Ave,97266,,PHC Northwest,503-760-1998,48,,8,40,,,
Hollywood East,4400 NE Broadway,97213,,Home Forward,503-280-3770,286,,269,13,4,,
Stark Street Villa,450 SE 127th Ave,97233,,Cascade Management Inc.,503-256-6275,60,,,36,24,,
Green Leaf Springs,4545 NE 125th Pl,97230,,Green Leaf Partners,888-846-6130,8,,,8,,,
Holgate House,4601 SE Cesar E Chavez Blvd,97202,,Home Forward,503-280-3750,80,,,80,,,
New Columbia,4605 N Trenton St,97203,,Income Property Management,503-943-5600,539,,,97,192,132,118
Celilo Court,4605 NE 95th Ave,97220,,Home Forward,503-280-3750,28,,,,17,11,
Safehaven Shelter,4610 N Maryland Ave,97217,,YWCA of Greater Portland,503-535-3270,13,10,,,3,,
Patton Home,4619 N Michigan Ave,97217,,Income Property Management,503-281-1844,63,63,,,,,
Leander Court Apts,4620 SE 122nd Ave,97236,,Cascade Management Inc.,503-761-0016,37,,,,3,27,7
Columbia View,4629 NE 118th Ave,97220,,Human Solutions,844-233-3197,7,,,,,7,
Slavin Court,4702 SW Slavin Rd,97239,,Home Forward,503-280-3750,24,,,,18,6,
Family Scattered Site Project,4716 N Mississippi,97217,,PCRI,503-288-2923,30,,,,,16,14
Trenton Terrace,4720 N Trenton St,97203,,Income Property Management,503-283-0966,66,,,65,1,,
Wygant Street Apts,4808 NE 8th Ave,97211,,PCRI,503-288-2923,7,,,,7,,
Fir Grove Apts,4820 SE 122nd Ave,97236,,REACH Community Development Inc.,503-760-0907,30,,,30,,,
Grand Avenue Duplexes,4936 NE 10th Ave,97211,,Infinity Property Management,503-693-6300,3,,,,3,,
St Francis Place,4941 NE 10th Ave,97211,,PCRI,503-288-2923,3,,,3,,,
Garlington Plaza,501 NE Albert St,97132,,Cascadia Behavioral Healthcare,503-283-3763,5,5,,,,,
Alberta St Apts,5010 NE 19th Ave,97211,,Cascade Management Inc.,503-281-7131,24,,8,16,,,
Villa de Mariposa,5020 NE Killingsworth St,97218,,Cascade Management Inc.,503-493-1315,71,,,,9,35,27
Avenue Plaza,5025 NE 8th Ave,97211,,Cascade Management Inc.,503-281-7131,22,,4,18,,,
Humboldt Gardens,5033 N Vancouver Ave,97217,,Home Forward,503-280-3850,130,,,62,46,15,7
Medford Apts,506 NW 5th Ave,97209,,Central City Concern,503-525-8483,62,,62,,,,
Gateway Park Apts,510 NE 100th Ave,97220,,Income Property Management,503-252-1162,144,,,60,48,36,
Carol Ann Apts,5109 NE Killingsworth St,97218,,WCR Co Inc.,503-282-4696,60,,32,28,,,
Nawikka Court Apts,5110 SE 76th Ave,97206,,Cascadia Behavioral Healthcare,503-774-4335,16,,,15,1,,
Tillicum Court Apts,5135 SE 73rd Ave,97206,,Cascadia Behavioral Healthcare,"503-238-0769,",16,,3,12,1,,
M Carter Plaza,517 NE Sacramento,97212,,Cascade Management Inc.,503-287-2162,56,,14,29,13,,
NAYA Generations,5205 SE 86th Ave,97266,,Guardian Real Estate Services,503-802-3600,40,,,22,8,4,6
Cambridge Court,5224 N Vancouver Ave,97217,,Central City Concern,503-525-8483,20,,,,20,,
Alder House,523 SW 13th Ave,97205,,Income Property Management,503-222-1182,132,131,,1,,,
Carlton Court,5241 NE Killingsworth St,97218,,Home Forward,503-280-3750,24,,,,14,10,
The Clifford,527 SE Morrison St,97214,,Cascade Management Inc.,503-232-5460,90,34,56,,,,
Patton Park Apts,5272 N Interstate Ave,97217,,REACH Community Development Inc.,971-255-4444,47,,2,31,3,11,
Walnut Park Apts,5272 NE 6th Ave,97211,,REACH Community Development Inc.,503-282-7449,38,,,38,,,
Emerson Corner,5305 NE 11th Ave,97211,,Cascadia Behavioral Healthcare,503-963-7767,5,5,,,,,
Emerson Plaza,5312 NE 13th Ave,97211,,Cascade Management Inc.,503-281-7131,16,,8,8,,,
Sally McCracken,532 NW Everett St,97209,,Central City Concern,503-525-8483,95,95,,,,,
Estates Plaza,5421 NE 14th Pl,97211,,Cascade Management Inc.,503-281-7131,9,,2,5,2,,
Endelea Court,5507 NE 27th Ave,97212,,Sabin Community Development Corp.,503-287-3496,26,,,,13,13,
Emilie House,5520 NE Glisan,97213,,Providence Supportive Housing,503-236-9779,40,,,,,,
Los Jardines de la Paz,5530 NE 60th Ave,97218,,Cascade Management Inc.,503-335-9603,43,,,,,27,16
Glisan Commons,555 NE 100th Ave,97220,,Human Solutions,844-236-0592,67,,4,63,,,
Cascadian Terrace,5700 N Kerby Ave,97217,,Guardian Real Estate Services,503-283-3541,102,,86,15,1,,
Good Shepherd,5717 NE Simpson St,97218,,Good Shepherd Lutheran Home of the West,559-791-2028,5,,5,,,,
Sunrise Place,5724 NE Prescott St,97218,,Central City Concern,503-525-8483,10,,,9,1,,
Prescott Terrace,5725 NE Prescott St,97218,,Cascadia Behavioral Healthcare,503-232-6971,50,,,,,,
The Commons,5800 NE Center Commons Wy,97213,,Steadfast Management,503-231-7777,172,,,148,24,,
Plaza Townhomes,5802 N Michigan Ave,97217,,Home Forward,503-280-3860,68,,,,34,34,
Prescott Place,5802 NE Prescott St,97218,,REACH Community Development Inc.,503-288-4487,20,,,20,,,
Woody Guthrie,5808 SE 91st,97266,,Rose Community Development Corp.,503-777-8845,64,,,,,,
Center Village,5845 NE Hoyt St,97213,,Steadfast Management,503-231-7777,60,,,,32,26,2
Providence House,5921 E Burnside,97215,,Providence Supportive Housing,503-215-2234,39,,,,,,
Rosemont Court,597 North Dekum St,97217,,Income Property Management,503-240-8087,100,,8,88,4,,
Ruth Haefner Plaza,6005 SW Beaverton-Hillsdale Hwy,97221,,Home Forward,503-280-3750,73,,,73,,,
Gilman Court,610 NE 99th,97220,,REACH Community Development Inc.,971-277-7196,60,,,60,,,
Butte Hotel,610 NW Davis St,97209,,Central City Concern,503-525-8384,37,37,,,,,
Lents Court,6102 SE 86th Ave,97266,,Cascadia Behavioral Healthcare,503-232-6971,5,5,,,,,
93rd Avenue,6119 SE 93rd Ave,97266,,Rose Community Development Corp.,503-777-8845,20,,,,10,10,
Greenview Terrace,620 SE 148th Ave,97233,,Cascade Management Inc.,503-254-5826,31,,,20,11,,
Rosemont Townhomes,621 N Saratoga St,97217,,Income Property Management,503-240-8087,18,,,,4,12,2
Morrison Park Apts,623 SW Park Ave,97205,,Income Property Management,503-221-0466,60,,48,6,6,,
Queahpama Heights,6244 N Columbia Way,97203,,Low Income Housing for Native Americans,503-247-7222,32,,,14,18,,
A. Phillips Square,626 NE Brazee,97212,,Cascade Management Inc.,503-287-2162,18,,8,10,,,
The Watershed,6388 SW Capitol Hwy,97239,,Income Property Management,503-452-0010,51,,,48,3,,
Troutdale Terrace Apts,639 SW 257th Ave,97060,,Quantum Residential,503-618-1876,228,,,24,152,52,
Westmoreland Union Manor,6404 SE 23rd Ave,97202,,Manor Management,503-233-5671,301,,210,90,1,,
Woodstock Court,6428 SE 97th Ave,97266,,Cascadia Behavioral Healthcare,503-232-6971,9,,8,1,,,
Springwater Commons,6430 SE 128th Ave,97236,,Guardian Real Estate Services,503-762-4688,36,,,,,13,23
Marla Manor,644 SE 148th Ave,97233,,Cascade Management Inc.,503-254-5826,25,,,19,6,,
Villa de Suenos,6444 NE Killingsworth St,97218,,Cascade Management Inc.,503-284-3985,28,,,,,14,14
Springtree Apts,650 SE 162nd Ave,97233,,Pacificap Management,503-253-1476,72,,,20,52,,
